experiences_offered,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,24-Hour Check-in,Air Conditioning,Breakfast,BuzzerWireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator in Building,Essentials,FamilyKid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Free Parking on Street,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Other pet(s),Paid Parking Off Premises,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Washer  Dryer,Wheelchair Accessible,Wireless Internet,latitude,longitude
none,within a few hours,1,0.71,f,t,f,Roslindale,t,House,Private room,1,1.5,1,1,Real Bed,75,490,3500,100,100,1,0,1,1125,27,57,87,362,17,96,10,10,10,10,10,10,f,f,flexible,f,f,1,0.59,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,42.27691292292999,-71.12823284
none,within an hour,1,0.95,f,t,t,Roslindale,t,House,Entire home/apt,4,1,1,2,Real Bed,110,680,2300,100,25,2,20,3,1125,7,16,25,300,55,87,9,9,10,10,9,9,f,f,strict,f,f,1,2.36,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,42.28967076428995,-71.13728641
none,within a few hours,1,1,f,t,f,Roslindale,f,Apartment,Private room,2,1,1,1,Real Bed,115,1000,3500,200,35,1,0,1,1125,19,46,76,351,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,1,1.970908448,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.289603216466745,-71.13336749
none,within an hour,0.98,0.96,f,t,t,Roslindale,t,House,Entire home/apt,16,1,3,5,Real Bed,125,1000,3500,250,50,1,25,1,1125,26,51,81,351,24,91,10,10,10,10,9,9,f,f,strict,f,f,3,2.07,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.27917609759368,-71.1327718
none,within an hour,0.98,0.96,f,t,t,Roslindale,t,House,Entire home/apt,16,2.5,3,7,Real Bed,200,1000,3500,250,50,1,25,1,1125,18,38,68,343,82,95,10,10,10,10,10,9,f,f,strict,f,f,3,4.32,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,42.28214228250037,-71.12904915
none,within a few hours,1,1,t,t,t,Roslindale,t,House,Private room,2,2,1,1,Real Bed,75,1000,3500,100,10,1,15,1,1125,26,56,86,361,20,97,10,10,10,10,10,10,f,f,moderate,t,t,2,0.87,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,42.281748516890026,-71.14031784
none,within a few hours,1,1,f,t,t,Roslindale,t,House,Private room,1,1,1,1,Real Bed,78,510,1800,500,25,1,0,3,1125,4,34,64,339,21,95,9,9,10,10,9,9,f,t,flexible,f,f,1,0.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.27563719947966,-71.12480042
none,within a few hours,1,1,f,t,t,Roslindale,t,Apartment,Private room,4,1,1,2,Real Bed,50,1000,3500,100,10,1,0,2,15,0,0,0,0,10,96,10,10,10,10,10,10,f,f,flexible,f,f,1,5.77,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.28759769917666,-71.13448153
none,within a few hours,1,0.71,t,t,t,Roslindale,t,Apartment,Private room,1,1,1,1,Real Bed,60,1000,3500,100,100,1,10,1,1125,20,50,80,355,143,98,10,10,10,10,9,10,f,f,flexible,f,f,1,4.39,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,42.28997231000651,-71.13614632
none,within a few hours,1,0.94,t,t,t,Roslindale,t,House,Private room,1,1.5,1,1,Real Bed,45,300,900,100,100,1,0,2,1125,6,6,6,254,2,100,9,10,10,9,7,9,f,f,flexible,f,f,3,0.54,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.27896822197632,-71.13671456
none,within a few hours,0.77,0.89,f,t,f,Roslindale,t,House,Entire home/apt,4,1,2,2,Real Bed,145,882,2790,446,56,3,33,5,1125,4,8,38,306,26,92,10,10,10,10,9,9,f,f,strict,f,f,2,0.74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.282905456272054,-71.13267674
none,within an hour,1,0.83,f,t,f,Roslindale,t,House,Private room,2,2,1,1,Real Bed,45,1000,3500,100,100,1,10,2,1125,2,28,53,133,5,96,10,9,10,10,9,9,f,f,flexible,f,f,1,3.13,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,42.27636367614069,-71.13643293
